site_code,collection_date,lowest_taxon,L_mu_spe,L_me_spe,L_sd_spe,L_n_spe,family,L_mu_fam,L_me_fam,L_sd_fam,L_n_fam,L_mu_com,L_me_com,L_sd_com,L_n_com
EM,2018-02-09,D. cepedianum,189.507,180.81900000000002,39.02051045283748,4,Clupeidae,189.507,180.81900000000002,39.02051045283748,4,69.8691198156682,57.344,49.598237460418105,217
EM,2018-02-09,E. gracile,46.81818181818182,47,3.6556307750696546,11,Pecidae,46.81818181818182,47,3.6556307750696546,11,69.8691198156682,57.344,49.598237460418105,217
EM,2018-02-09,G. affinis,29.541666666666668,29.5,7.144345083117603,24,Poeciliidae,29.541666666666668,29.5,7.144345083117603,24,69.8691198156682,57.344,49.598237460418105,217
EM,2018-02-09,L. cyanellus,73.876,71.346,12.504105352509896,4,Centrarchidae,74.24365306122449,67.584,35.719959968617424,147,69.8691198156682,57.344,49.598237460418105,217
EM,2018-02-09,L. gulosus,83,85,31.587620641285692,10,Centrarchidae,74.24365306122449,67.584,35.719959968617424,147,69.8691198156682,57.344,49.598237460418105,217
EM,2018-02-09,L. humilis,37.923500000000004,37.923500000000004,9.550891293486696,2,Centrarchidae,74.24365306122449,67.584,35.719959968617424,147,69.8691198156682,57.344,49.598237460418105,217
EM,2018-02-09,L. macrochirus,69.152,61.952,29.41386778484795,32,Centrarchidae,74.24365306122449,67.584,35.719959968617424,147,69.8691198156682,57.344,49.598237460418105,217
EM,2018-02-09,L. megalotis,75.43979591836735,69.795,38.59744000964478,98,Centrarchidae,74.24365306122449,67.584,35.719959968617424,147,69.8691198156682,57.344,49.598237460418105,217
EM,2018-02-09,L. oculatus,400,400,14.142135623730951,2,Lepisosteidae,400,400,14.142135623730951,2,69.8691198156682,57.344,49.598237460418105,217
EM,2018-02-09,N. gyrinus,53.10866666666667,54.694,13.126408567418125,12,Ictaluridae,53.10866666666667,54.694,13.126408567418125,12,69.8691198156682,57.344,49.598237460418105,217
EM,2018-02-09,P. annularis,106.502,106.502,NA,1,Centrarchidae,74.24365306122449,67.584,35.719959968617424,147,69.8691198156682,57.344,49.598237460418105,217
EM,2018-02-09,P. vigilax,48.73235294117647,47.25,14.189861490432072,17,Leuciscidae,48.73235294117647,47.25,14.189861490432072,17,69.8691198156682,57.344,49.598237460418105,217
EM,2018-03-09,C. lutrensis,43.368,41.144000000000005,8.517271550600384,10,Leuciscidae,43.996,42.525,8.889812053402906,30,59.11654430379747,45,61.83611515621493,158
