site_code,collection_date,family,lowest_taxon,L_mu_com,L_mu_fam,L_mu_spe
GC,2018-02-11,Centrarchidae,L. auritus,68.96375757575758,62.16818421052631,51.246066666666664
GC,2018-02-11,Centrarchidae,L. cyanellus,68.96375757575758,62.16818421052631,71.852
GC,2018-02-11,Centrarchidae,L. gulosus,68.96375757575758,62.16818421052631,57
GC,2018-02-11,Centrarchidae,L. macrochirus,68.96375757575758,62.16818421052631,69.97333333333333
GC,2018-02-11,Centrarchidae,L. megalotis,68.96375757575758,62.16818421052631,63.4876
GC,2018-02-11,Centrarchidae,L. miniatus,68.96375757575758,62.16818421052631,46.260000000000005
GC,2018-02-11,Lepisosteidae,L. oculatus,68.96375757575758,358,358
GC,2018-02-11,Centrarchidae,M. salmoides,68.96375757575758,62.16818421052631,122.88
GC,2018-02-11,Ictaluridae,N. gyrinus,68.96375757575758,74.90700000000001,74.90700000000001
GC,2018-02-11,Leuciscidae,N. texanus,68.96375757575758,58.41375000000001,58.41375000000001
GC,2018-03-30,Fundulidae,F. chrysotus,56.067485714285716,61.666666666666664,61.666666666666664
GC,2018-03-30,Poeciliidae,G. affinis,56.067485714285716,38.32142857142857,38.32142857142857
GC,2018-03-30,Centrarchidae,L. auritus,56.067485714285716,68.56362162162162,68.4208
GC,2018-03-30,Centrarchidae,L. cyanellus,56.067485714285716,68.56362162162162,89.8656
GC,2018-03-30,Centrarchidae,L. gulosus,56.067485714285716,68.56362162162162,61
GC,2018-03-30,Centrarchidae,L. macrochirus,56.067485714285716,68.56362162162162,48.896
GC,2018-03-30,Centrarchidae,L. megalotis,56.067485714285716,68.56362162162162,63.2291
GC,2018-03-30,Centrarchidae,M. salmoides,56.067485714285716,68.56362162162162,112.128
GC,2018-03-30,Leuciscidae,N. texanus,56.067485714285716,64.935,64.935
GC,2018-05-04,Fundulidae,F. grandis,81.91387692307693,58.916666666666664,58.916666666666664
GC,2018-05-04,Poeciliidae,G. affinis,81.91387692307693,36.2,36.2
GC,2018-05-04,Centrarchidae,L. cyanellus,81.91387692307693,66.82148571428571,67.298
GC,2018-05-04,Centrarchidae,L. gulosus,81.91387692307693,66.82148571428571,72
GC,2018-05-04,Centrarchidae,L. macrochirus,81.91387692307693,66.82148571428571,72.32000000000001
GC,2018-05-04,Centrarchidae,L. megalotis,81.91387692307693,66.82148571428571,60.75980952380952
GC,2018-05-04,Centrarchidae,L. miniatus,81.91387692307693,66.82148571428571,133.64
GC,2018-05-04,Lepisosteidae,L. oculatus,81.91387692307693,419.5,419.5
GC,2018-05-04,Leuciscidae,N. texanus,81.91387692307693,59.6625,59.6625
GC,2018-06-06,Poeciliidae,G. affinis,51.059031250000004,27.17391304347826,27.17391304347826
GC,2018-06-06,Centrarchidae,L. auritus,51.059031250000004,74.10091666666666,83.78766666666667
GC,2018-06-06,Centrarchidae,L. cyanellus,51.059031250000004,74.10091666666666,88.044
GC,2018-06-06,Centrarchidae,L. macrochirus,51.059031250000004,74.10091666666666,70.784
